空值记录数,最大值,最小值
0.0,62988.0,1.0
0,,
0,,
3,,
0.0,6.0,4.0
2269,,
3248,,
26,,
420.0,110.0,6.0
0,,
0.0,213.0,2.0
0.0,505308.0,0.0
0.0,0.0,0.0
0.0,74460.0,0.0
551.0,239560.0,0.0
138.0,234188.0,0.0
0.0,580717.0,368.0
0.0,558440.14,0.0
0,,
0.0,26.625,0.25
0.0,63163.5,0.0
0.0,729.0,0.0
0.0,731.0,1.0
0.0,728.0,0.0
0.0,728.0,0.0
0.0,600000.0,0.0
0.0,728282.0,0.0
0.0,46.0,0.0
0.0,1.5,0.0
0.0,118.0,0.0
0.0,111.0,0.0
0.0,246197.0,0.0
0.0,259111.0,0.0
0.0,74460.0,0.0
0.0,984938.0,0.0
0.0,984938.0,0.0
0.0,728282.0,0.0
0.0,985572.0,0.0
0.0,728282.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.99998861,0.0
0.0,0.999993205,0.0
0.0,140.0,0.0
