YuanXiSuo,ZhuanYe,YanJiuFangXiang,number_of_people,exam_subject
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(01)控制工程（自动化系招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(408)计算机学科专业基础综合,或者:(101)思想政治理论,(201)英语一,(301)数学一,(816)自动控制理论,或者:(101)思想政治理论,(201)英语一,(301)数学一,(819)信号系统与信号处理,或者:(101)思想政治理论,(201)英语一,(301)数学一,(820)微型计算机原理与应用"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(02)计算机与大数据技术（计算机系招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(408)计算机学科专业基础综合"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(03)电子与通信工程（电子工程系招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(819)信号系统与信号处理,或者:(101)思想政治理论,(201)英语一,(301)数学一,(863)电磁场与微波技术,或者:(101)思想政治理论,(201)英语一,(301)数学一,(874)半导体物理与器件基础"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(04)仪器仪表工程（仪器系招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(817)自动控制原理,或者:(101)思想政治理论,(201)英语一,(301)数学一,(821)传感器与检测技术,或者:(101)思想政治理论,(201)英语一,(301)数学一,(827)材料科学基础,或者:(101)思想政治理论,(201)英语一,(301)数学一,(831)生物化学（自命题）,或者:(101)思想政治理论,(201)英语一,(301)数学一,(837)高分子化学与高分子物理,或者:(101)思想政治理论,(201)英语一,(301)数学一,(838)有机化学"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(05)网络空间安全（网安学院招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(823)信息安全基础综合"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(06)软件工程（软件学院招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(825)软件学科基础"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(07)电子与通信工程（微纳系招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(821)传感器与检测技术,或者:(101)思想政治理论,(201)英语一,(301)数学一,(827)材料科学基础,或者:(101)思想政治理论,(201)英语一,(301)数学一,(829)电磁学和量子力学,或者:(101)思想政治理论,(201)英语一,(301)数学一,(874)半导体物理与器件基础"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(08)集成电路工程（微纳系招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(817)自动控制原理,或者:(101)思想政治理论,(201)英语一,(301)数学一,(819)信号系统与信号处理,或者:(101)思想政治理论,(201)英语一,(301)数学一,(822)基本电路理论,或者:(101)思想政治理论,(201)英语一,(301)数学一,(874)半导体物理与器件基础"
(030)电子信息与电气工程学院,(085400)(专业学位)电子信息,(09)人工智能（计算机系招生）,391,"(101)思想政治理论,(201)英语一,(301)数学一,(408)计算机学科专业基础综合"
(082)生物医学工程学院（含Med-X研究院）,(085400)(专业学位)电子信息,(01)生物医学工程,16,"(101)思想政治理论,(201)英语一,(301)数学一,(408)计算机学科专业基础综合,或者:(101)思想政治理论,(201)英语一,(301)数学一,(815)控制理论基础,或者:(101)思想政治理论,(201)英语一,(301)数学一,(819)信号系统与信号处理,或者:(101)思想政治理论,(201)英语一,(301)数学一,(820)微型计算机原理与应用"
(260)上海交大-巴黎高科卓越工程师学院,(085400)(专业学位)电子信息,(01)不分研究方向,0,"(101)思想政治理论,(201)英语一,(301)数学一,(800)仅从推免生选拔"
